2023-07-17 08:20:21 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-07-17 08:20:21 [main] INFO  c.e.a.AccountServiceApplication - Starting AccountServiceApplication using Java 17.0.7 with PID 4488 (C:\Users\abola\IdeaProjects\s1lkpay-test-task\AccountService\target\classes started by abola in C:\Users\abola\IdeaProjects\s1lkpay-test-task)
2023-07-17 08:20:21 [main] INFO  c.e.a.AccountServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-17 08:20:22 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-17 08:20:22 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42 ms. Found 1 JPA repository interfaces.
2023-07-17 08:20:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-07-17 08:20:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-07-17 08:20:22 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-17 08:20:22 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-17 08:20:22 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-17 08:20:22 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1017 ms
2023-07-17 08:20:22 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-17 08:20:22 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=ROOT
2023-07-17 08:20:22 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-17 08:20:22 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2023-07-17 08:20:22 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
